order_id,product,quantity_tonnes,destination_id,destination_city,distance_km,order_date,deadline,deadline_days,priority,order_type,estimated_freight,penalty_per_day,status
ORD1074,CR Coil,863.34,CMO02,Mumbai,1800,2024-02-29,2024-03-09,9,Medium,Rail,1864814.4,15000,Pending
ORD1075,Wire Rod,557.35,CMO03,Chennai,2100,2024-05-18,2024-05-28,10,High,Rail,1404522.0,30000,Pending
ORD1076,Semis,1042.41,CMO05,Hyderabad,1600,2024-06-27,2024-06-30,3,Low,Rail,2001427.2,5000,Pending
ORD1077,HR Coil,528.99,CMO03,Chennai,2100,2024-03-17,2024-04-01,15,Low,Road,1333054.8,5000,Pending
ORD1078,Plate,763.58,CMO06,Ahmedabad,1900,2024-05-19,2024-06-03,15,High,Rail,1740962.4,30000,Dispatched
ORD1079,Wire Rod,469.74,CMO04,Kolkata,350,2024-01-08,2024-01-17,9,Medium,Rail,197290.8,15000,Pending
ORD1080,CR Coil,1178.79,CMO07,Pune,1750,2024-04-29,2024-05-04,5,Medium,Road,2475459.0,15000,Pending
ORD1081,Plate,192.34,CMO05,Hyderabad,1600,2024-06-18,2024-06-21,3,Medium,Road,369292.8,15000,Pending
ORD1082,CR Coil,460.09,CMO01,Delhi,1200,2024-03-07,2024-03-16,9,Medium,Rail,662529.6,15000,Pending
ORD1083,Wire Rod,1018.4,CMO03,Chennai,2100,2024-04-17,2024-04-24,7,Medium,Road,2566368.0,15000,Pending
ORD1084,HR Coil,175.48,CMO03,Chennai,2100,2024-02-27,2024-03-11,13,Low,Rail,442209.6,5000,Pending
ORD1085,HR Coil,783.47,CMO02,Mumbai,1800,2024-02-21,2024-02-24,3,High,Rail,1692295.2,30000,Dispatched
ORD1086,HR Coil,869.41,CMO05,Hyderabad,1600,2024-02-25,2024-03-06,10,Low,Rail,1669267.2,5000,Pending
ORD1087,Plate,1001.23,CMO06,Ahmedabad,1900,2024-01-30,2024-02-14,15,Low,Rail,2282804.4,5000,Pending
ORD1088,HR Coil,1098.83,CMO03,Chennai,2100,2024-05-27,2024-06-09,13,Medium,Road,2769051.6,15000,Pending
ORD1089,CR Coil,1013.63,CMO01,Delhi,1200,2024-05-31,2024-06-14,14,High,Rail,1459627.2,30000,Dispatched
ORD1090,TMT Bar,986.08,CMO07,Pune,1750,2024-06-24,2024-07-06,12,Low,Rail,2070768.0,5000,Pending
ORD1091,HR Coil,827.67,CMO03,Chennai,2100,2024-05-16,2024-05-25,9,Critical,Rail,2085728.4,50000,Dispatched
ORD1092,HR Coil,216.09,CMO07,Pune,1750,2024-04-17,2024-04-27,10,Low,Rail,453789.0,5000,Pending
ORD1093,Semis,293.75,CMO04,Kolkata,350,2024-02-09,2024-02-18,9,Medium,Rail,123375.0,15000,Pending
ORD1094,Plate,631.85,CMO07,Pune,1750,2024-05-17,2024-06-01,15,Medium,Road,1326885.0,15000,Pending
ORD1095,TMT Bar,406.82,CMO03,Chennai,2100,2024-03-03,2024-03-07,4,Medium,Road,1025186.4,15000,Pending
ORD1096,Plate,470.04,CMO05,Hyderabad,1600,2024-06-20,2024-06-29,9,Medium,Rail,902476.8,15000,Pending
ORD1097,Wire Rod,384.19,CMO02,Mumbai,1800,2024-03-31,2024-04-15,15,High,Rail,829850.4,30000,Pending
ORD1098,TMT Bar,1142.87,CMO05,Hyderabad,1600,2024-01-03,2024-01-14,11,Critical,Road,2194310.4,50000,Pending
ORD1099,Wire Rod,623.7,CMO05,Hyderabad,1600,2024-03-02,2024-03-16,14,Medium,Rail,1197504.0,15000,Pending
ORD1100,HR Coil,544.84,CMO01,Delhi,1200,2024-03-16,2024-03-22,6,High,Rail,784569.6,30000,Dispatched
ORD1101,TMT Bar,478.13,CMO04,Kolkata,350,2024-05-21,2024-06-01,11,Low,Rail,200814.6,5000,Pending
ORD1102,TMT Bar,437.29,CMO06,Ahmedabad,1900,2024-04-26,2024-05-03,7,High,Road,997021.2,30000,Pending
ORD1103,TMT Bar,859.18,CMO01,Delhi,1200,2024-05-17,2024-06-01,15,High,Road,1237219.2,30000,Pending
ORD1104,TMT Bar,677.1,CMO06,Ahmedabad,1900,2024-05-30,2024-06-14,15,High,Rail,1543788.0,30000,Pending
ORD1105,CR Coil,297.39,CMO03,Chennai,2100,2024-02-28,2024-03-07,8,Critical,Rail,749422.8,50000,Dispatched
ORD1106,TMT Bar,421.35,CMO01,Delhi,1200,2024-01-14,2024-01-25,11,Low,Rail,606744.0,5000,Pending
ORD1107,Semis,731.47,CMO04,Kolkata,350,2024-01-27,2024-01-30,3,Medium,Rail,307217.4,15000,Pending
ORD1108,CR Coil,225.5,CMO01,Delhi,1200,2024-03-05,2024-03-15,10,Critical,Rail,324720.0,50000,Dispatched
ORD1109,Plate,266.9,CMO06,Ahmedabad,1900,2024-06-24,2024-06-27,3,Low,Road,608532.0,5000,Pending
ORD1110,HR Coil,940.89,CMO02,Mumbai,1800,2024-01-31,2024-02-11,11,Medium,Road,2032322.4,15000,Pending
ORD1111,CR Coil,595.57,CMO07,Pune,1750,2024-05-13,2024-05-22,9,Medium,Road,1250697.0,15000,Pending
ORD1112,Wire Rod,166.25,CMO03,Chennai,2100,2024-05-25,2024-06-06,12,Low,Rail,418950.0,5000,Pending
ORD1113,Semis,391.11,CMO02,Mumbai,1800,2024-06-09,2024-06-15,6,Critical,Rail,844797.6,50000,Pending
ORD1114,Plate,549.37,CMO01,Delhi,1200,2024-02-10,2024-02-13,3,Medium,Rail,791092.8,15000,Pending
ORD1115,HR Coil,410.99,CMO02,Mumbai,1800,2024-03-14,2024-03-28,14,Low,Rail,887738.4,5000,Pending
ORD1116,CR Coil,827.3,CMO03,Chennai,2100,2024-06-09,2024-06-21,12,Low,Rail,2084796.0,5000,Pending
ORD1117,Plate,1099.25,CMO02,Mumbai,1800,2024-06-14,2024-06-19,5,Low,Rail,2374380.0,5000,Pending
ORD1118,CR Coil,923.85,CMO07,Pune,1750,2024-03-19,2024-03-31,12,Medium,Rail,1940085.0,15000,Pending
ORD1119,HR Coil,869.71,CMO04,Kolkata,350,2024-06-25,2024-07-02,7,Low,Rail,365278.2,5000,Pending
ORD1120,Wire Rod,143.85,CMO04,Kolkata,350,2024-01-21,2024-02-02,12,Medium,Rail,60417.0,15000,Pending
ORD1121,TMT Bar,1158.1,CMO01,Delhi,1200,2024-01-24,2024-01-30,6,Low,Rail,1667664.0,5000,Pending
ORD1122,HR Coil,733.87,CMO07,Pune,1750,2024-06-21,2024-06-28,7,Low,Rail,1541127.0,5000,Pending
ORD1123,Plate,299.64,CMO06,Ahmedabad,1900,2024-04-23,2024-04-30,7,Medium,Rail,683179.2,15000,Pending
ORD1124,Wire Rod,549.18,CMO01,Delhi,1200,2024-04-30,2024-05-08,8,High,Rail,790819.2,30000,Pending
ORD1125,CR Coil,645.02,CMO03,Chennai,2100,2024-04-15,2024-04-29,14,Medium,Rail,1625450.4,15000,Pending
ORD1126,Semis,196.87,CMO05,Hyderabad,1600,2024-01-10,2024-01-20,10,High,Rail,377990.4,30000,Pending
ORD1127,Semis,823.43,CMO04,Kolkata,350,2024-05-11,2024-05-14,3,Medium,Rail,345840.6,15000,Pending
ORD1128,CR Coil,932.09,CMO05,Hyderabad,1600,2024-04-02,2024-04-14,12,Medium,Road,1789612.8,15000,Pending
ORD1129,CR Coil,1120.44,CMO03,Chennai,2100,2024-05-20,2024-05-25,5,Medium,Rail,2823508.8,15000,Pending
ORD1130,HR Coil,979.25,CMO01,Delhi,1200,2024-06-10,2024-06-22,12,Medium,Rail,1410120.0,15000,Pending
ORD1131,HR Coil,347.17,CMO05,Hyderabad,1600,2024-04-14,2024-04-18,4,Low,Rail,666566.4,5000,Pending
ORD1132,HR Coil,1125.92,CMO06,Ahmedabad,1900,2024-02-09,2024-02-19,10,High,Road,2567097.6,30000,Pending
ORD1133,Wire Rod,368.1,CMO07,Pune,1750,2024-05-03,2024-05-13,10,Medium,Rail,773010.0,15000,Pending
ORD1134,Plate,403.87,CMO05,Hyderabad,1600,2024-02-04,2024-02-08,4,Low,Rail,775430.4,5000,Pending
ORD1135,Semis,411.12,CMO05,Hyderabad,1600,2024-03-09,2024-03-12,3,High,Rail,789350.4,30000,Pending
ORD1136,Structurals,692.44,CMO04,Kolkata,350,2024-02-08,2024-02-18,10,High,Rail,290824.8,30000,Pending
ORD1137,Plate,1056.56,CMO04,Kolkata,350,2024-04-26,2024-05-04,8,Low,Rail,443755.2,5000,Pending
ORD1138,Wire Rod,449.99,CMO02,Mumbai,1800,2024-04-15,2024-04-18,3,Medium,Road,971978.4,15000,Pending
ORD1139,Wire Rod,1002.82,CMO04,Kolkata,350,2024-06-18,2024-07-03,15,Low,Rail,421184.4,5000,Pending
ORD1140,HR Coil,465.19,CMO02,Mumbai,1800,2024-05-08,2024-05-20,12,High,Road,1004810.4,30000,Dispatched
ORD1141,HR Coil,894.69,CMO05,Hyderabad,1600,2024-04-26,2024-04-29,3,Medium,Rail,1717804.8,15000,Pending
ORD1142,CR Coil,1166.12,CMO01,Delhi,1200,2024-04-30,2024-05-15,15,High,Rail,1679212.8,30000,Dispatched
ORD1143,Structurals,1045.28,CMO01,Delhi,1200,2024-03-25,2024-04-07,13,Medium,Rail,1505203.2,15000,Pending
ORD1144,Structurals,139.49,CMO07,Pune,1750,2024-05-04,2024-05-15,11,Critical,Rail,292929.0,50000,Pending
ORD1145,TMT Bar,1176.17,CMO02,Mumbai,1800,2024-01-24,2024-02-02,9,Low,Road,2540527.2,5000,Pending
ORD1146,HR Coil,429.41,CMO04,Kolkata,350,2024-02-12,2024-02-26,14,Critical,Rail,180352.2,50000,Dispatched
ORD1147,HR Coil,573.76,CMO03,Chennai,2100,2024-04-01,2024-04-09,8,High,Rail,1445875.2,30000,Dispatched
ORD1148,Structurals,292.58,CMO07,Pune,1750,2024-02-16,2024-02-21,5,Medium,Rail,614418.0,15000,Pending
ORD1149,Structurals,257.43,CMO02,Mumbai,1800,2024-05-07,2024-05-19,12,Medium,Rail,556048.8,15000,Pending
ORD1150,TMT Bar,611.78,CMO06,Ahmedabad,1900,2024-01-03,2024-01-18,15,High,Rail,1394858.4,30000,Pending
ORD1151,HR Coil,429.07,CMO04,Kolkata,350,2024-03-29,2024-04-10,12,Low,Rail,180209.4,5000,Pending
ORD1152,Wire Rod,1199.31,CMO07,Pune,1750,2024-03-18,2024-03-24,6,Low,Rail,2518551.0,5000,Pending
ORD1153,Wire Rod,425.46,CMO05,Hyderabad,1600,2024-04-01,2024-04-13,12,Medium,Rail,816883.2,15000,Pending
ORD1154,Semis,108.91,CMO06,Ahmedabad,1900,2024-04-11,2024-04-18,7,Low,Road,248314.8,5000,Pending
ORD1155,HR Coil,953.32,CMO05,Hyderabad,1600,2024-05-07,2024-05-14,7,High,Road,1830374.4,30000,Dispatched
ORD1156,CR Coil,375.69,CMO06,Ahmedabad,1900,2024-02-18,2024-03-01,12,Low,Road,856573.2,5000,Pending
ORD1157,Structurals,206.88,CMO07,Pune,1750,2024-02-05,2024-02-18,13,Medium,Rail,434448.0,15000,Pending
ORD1158,Semis,501.35,CMO04,Kolkata,350,2024-01-09,2024-01-21,12,High,Road,210567.0,30000,Pending
ORD1159,TMT Bar,320.87,CMO06,Ahmedabad,1900,2024-04-16,2024-04-21,5,Low,Road,731583.6,5000,Pending
ORD1160,TMT Bar,1013.52,CMO05,Hyderabad,1600,2024-05-08,2024-05-15,7,High,Road,1945958.4,30000,Pending
ORD1161,Wire Rod,1057.44,CMO07,Pune,1750,2024-03-16,2024-03-30,14,Low,Rail,2220624.0,5000,Pending
ORD1162,HR Coil,896.64,CMO02,Mumbai,1800,2024-02-27,2024-03-11,13,Low,Road,1936742.4,5000,Pending
ORD1163,Semis,969.75,CMO05,Hyderabad,1600,2024-04-03,2024-04-07,4,Critical,Rail,1861920.0,50000,Pending
ORD1164,Wire Rod,839.57,CMO03,Chennai,2100,2024-06-21,2024-07-05,14,Medium,Road,2115716.4,15000,Pending
ORD1165,TMT Bar,618.62,CMO01,Delhi,1200,2024-06-21,2024-06-27,6,Medium,Road,890812.8,15000,Pending
ORD1166,TMT Bar,169.54,CMO05,Hyderabad,1600,2024-02-26,2024-03-10,13,Low,Road,325516.8,5000,Pending
ORD1167,TMT Bar,253.75,CMO06,Ahmedabad,1900,2024-04-14,2024-04-18,4,Low,Rail,578550.0,5000,Pending
ORD1168,Wire Rod,1075.99,CMO01,Delhi,1200,2024-01-25,2024-01-31,6,High,Rail,1549425.6,30000,Pending
ORD1169,Structurals,561.04,CMO06,Ahmedabad,1900,2024-06-27,2024-07-08,11,Medium,Rail,1279171.2,15000,Pending
ORD1170,Wire Rod,777.22,CMO06,Ahmedabad,1900,2024-01-26,2024-02-05,10,Low,Rail,1772061.6,5000,Pending
ORD1171,Structurals,589.17,CMO03,Chennai,2100,2024-02-25,2024-03-06,10,High,Rail,1484708.4,30000,Pending
ORD1172,Structurals,494.54,CMO03,Chennai,2100,2024-05-19,2024-06-01,13,Medium,Rail,1246240.8,15000,Pending
ORD1173,HR Coil,829.05,CMO07,Pune,1750,2024-04-26,2024-04-30,4,Medium,Rail,1741005.0,15000,Pending
ORD1174,HR Coil,1187.7,CMO01,Delhi,1200,2024-03-26,2024-04-01,6,Low,Rail,1710288.0,5000,Pending
ORD1175,Semis,745.02,CMO07,Pune,1750,2024-05-21,2024-05-27,6,Low,Rail,1564542.0,5000,Pending
ORD1176,Semis,405.0,CMO02,Mumbai,1800,2024-06-01,2024-06-04,3,Low,Road,874800.0,5000,Pending
ORD1177,Plate,827.16,CMO03,Chennai,2100,2024-02-14,2024-02-18,4,Critical,Rail,2084443.2,50000,Dispatched
ORD1178,Semis,456.15,CMO07,Pune,1750,2024-03-01,2024-03-13,12,High,Rail,957915.0,30000,Pending
ORD1179,Structurals,920.23,CMO04,Kolkata,350,2024-05-14,2024-05-18,4,Medium,Road,386496.6,15000,Pending
ORD1180,Plate,654.22,CMO05,Hyderabad,1600,2024-01-28,2024-02-07,10,Low,Rail,1256102.4,5000,Pending
ORD1181,Semis,431.79,CMO07,Pune,1750,2024-06-17,2024-06-28,11,Medium,Rail,906759.0,15000,Pending
ORD1182,Wire Rod,854.71,CMO07,Pune,1750,2024-04-12,2024-04-21,9,Medium,Road,1794891.0,15000,Pending
ORD1183,HR Coil,263.17,CMO01,Delhi,1200,2024-03-23,2024-04-04,12,High,Rail,378964.8,30000,Pending
ORD1184,Plate,1194.09,CMO05,Hyderabad,1600,2024-03-24,2024-04-02,9,Medium,Rail,2292652.8,15000,Pending
ORD1185,Plate,871.96,CMO04,Kolkata,350,2024-01-26,2024-02-10,15,Low,Rail,366223.2,5000,Pending
ORD1186,Semis,596.71,CMO05,Hyderabad,1600,2024-02-25,2024-03-05,9,High,Rail,1145683.2,30000,Pending
ORD1187,Wire Rod,204.59,CMO04,Kolkata,350,2024-04-16,2024-04-30,14,Medium,Rail,85927.8,15000,Pending
ORD1188,TMT Bar,173.85,CMO02,Mumbai,1800,2024-06-24,2024-07-04,10,Low,Rail,375516.0,5000,Pending
ORD1189,HR Coil,243.13,CMO06,Ahmedabad,1900,2024-04-05,2024-04-20,15,Critical,Road,554336.4,50000,Dispatched
ORD1190,Plate,551.89,CMO03,Chennai,2100,2024-06-20,2024-06-24,4,Low,Road,1390762.8,5000,Pending
ORD1191,Wire Rod,760.45,CMO07,Pune,1750,2024-01-14,2024-01-21,7,Medium,Rail,1596945.0,15000,Pending
ORD1192,CR Coil,346.67,CMO02,Mumbai,1800,2024-06-17,2024-06-27,10,High,Road,748807.2,30000,Pending
ORD1193,TMT Bar,348.78,CMO01,Delhi,1200,2024-03-12,2024-03-24,12,Medium,Rail,502243.2,15000,Pending
ORD1194,Semis,842.47,CMO07,Pune,1750,2024-06-08,2024-06-20,12,Medium,Rail,1769187.0,15000,Pending
ORD1195,Structurals,131.85,CMO07,Pune,1750,2024-06-26,2024-07-03,7,High,Road,276885.0,30000,Pending
ORD1196,TMT Bar,1056.85,CMO03,Chennai,2100,2024-01-02,2024-01-07,5,Medium,Rail,2663262.0,15000,Pending
ORD1197,CR Coil,200.93,CMO06,Ahmedabad,1900,2024-06-11,2024-06-14,3,Medium,Rail,458120.4,15000,Pending
ORD1198,Wire Rod,442.8,CMO03,Chennai,2100,2024-02-10,2024-02-18,8,High,Road,1115856.0,30000,Pending
ORD1199,Plate,273.15,CMO01,Delhi,1200,2024-01-14,2024-01-19,5,Medium,Rail,393336.0,15000,Pending
ORD1200,TMT Bar,634.23,CMO04,Kolkata,350,2024-06-18,2024-06-27,9,Medium,Rail,266376.6,15000,Pending
ORD1201,Semis,572.9,CMO05,Hyderabad,1600,2024-01-30,2024-02-07,8,High,Rail,1099968.0,30000,Pending
ORD1202,Wire Rod,149.96,CMO05,Hyderabad,1600,2024-06-19,2024-06-26,7,Medium,Rail,287923.2,15000,Pending
ORD1203,HR Coil,944.08,CMO02,Mumbai,1800,2024-03-18,2024-03-24,6,Low,Rail,2039212.8,5000,Pending
ORD1204,HR Coil,573.72,CMO01,Delhi,1200,2024-05-07,2024-05-21,14,High,Rail,826156.8,30000,Dispatched
ORD1205,CR Coil,986.82,CMO05,Hyderabad,1600,2024-05-23,2024-06-05,13,Critical,Road,1894694.4,50000,Dispatched
ORD1206,HR Coil,1113.28,CMO04,Kolkata,350,2024-01-05,2024-01-15,10,Low,Rail,467577.6,5000,Pending
ORD1207,Plate,418.47,CMO04,Kolkata,350,2024-06-12,2024-06-21,9,Medium,Road,175757.4,15000,Pending
ORD1208,CR Coil,1015.23,CMO07,Pune,1750,2024-06-07,2024-06-17,10,Low,Rail,2131983.0,5000,Pending
ORD1209,Semis,747.76,CMO01,Delhi,1200,2024-03-03,2024-03-12,9,Medium,Rail,1076774.4,15000,Pending
ORD1210,TMT Bar,466.38,CMO06,Ahmedabad,1900,2024-03-27,2024-04-02,6,High,Rail,1063346.4,30000,Pending
ORD1211,HR Coil,1096.52,CMO05,Hyderabad,1600,2024-05-10,2024-05-16,6,High,Road,2105318.4,30000,Pending
